MODE_DSC,CARRIER_TYPE,FREIGHT_RATES_ID,PORTCARRIER_ID
AIR,V88888888_0,57201,63267
AIR,V88888888_0,57202,63267
AIR,V88888888_0,57203,63267
AIR,V88888888_0,57204,63267
AIR,V88888888_0,57205,63267
AIR,V88888888_0,57206,63267
AIR,V88888888_0,57207,63267
AIR,V88888888_0,57208,63267
AIR,V88888888_0,57209,63267
AIR,V88888888_0,57210,63267
AIR,V88888888_0,57211,63267
AIR,V88888888_0,57212,63267
AIR,V88888888_0,57213,63267
AIR,V88888888_0,57214,63267
AIR,V88888888_0,57215,63267
AIR,V88888888_0,57216,63267
AIR,V88888888_0,57217,63267
AIR,V88888888_0,57218,63267
AIR,V88888888_0,57219,63267
AIR,V88888888_0,57220,63271
AIR,V88888888_0,57221,63271
AIR,V88888888_0,57222,63271
AIR,V88888888_0,57223,63271
AIR,V88888888_0,57224,63271
AIR,V88888888_0,57225,63271
AIR,V88888888_0,57226,63271
AIR,V88888888_0,57227,63271
AIR,V88888888_0,57228,63271
AIR,V88888888_0,57229,63271
AIR,V88888888_0,57230,63271
AIR,V88888888_0,57231,63271
AIR,V88888888_0,57232,63271
AIR,V88888888_0,57233,63271
AIR,V88888888_0,57234,63271
AIR,V88888888_0,57235,63271
AIR,V88888888_0,57236,63271
AIR,V88888888_0,57237,63271
AIR,V88888888_0,57238,63271
AIR,V88888888_0,57239,63277
AIR,V88888888_0,57240,63277
AIR,V88888888_0,57241,63277
AIR,V88888888_0,57242,63277
AIR,V88888888_0,57243,63277
AIR,V88888888_0,57244,63261
AIR,V88888888_0,57245,63261
AIR,V88888888_0,57246,63261
AIR,V88888888_0,57247,63261
AIR,V88888888_0,57248,63261
AIR,V88888888_0,57249,63285
AIR,V88888888_0,57250,63285
AIR,V88888888_0,57251,63285
AIR,V88888888_0,57252,63285
AIR,V88888888_0,57253,63285
AIR,V88888888_0,57254,63252
AIR,V88888888_0,57255,63252
AIR,V88888888_0,57256,63252
AIR,V88888888_0,57257,63252
AIR,V88888888_0,57258,63252
AIR,V88888888_0,57259,63280
AIR,V88888888_0,57260,63280
AIR,V88888888_0,57261,63280
AIR,V88888888_0,57262,63280
AIR,V88888888_0,57263,63280
AIR,V88888888_0,57264,63265
AIR,V88888888_0,57265,63265
AIR,V88888888_0,57266,63265
AIR,V88888888_0,57267,63265
AIR,V88888888_0,57268,63265
AIR,V88888888_0,57269,63294
AIR,V88888888_0,57270,63294
AIR,V88888888_0,57271,63294
AIR,V88888888_0,57272,63294
AIR,V88888888_0,57273,63294
AIR,V88888888_0,57274,63291
AIR,V88888888_0,57275,63291
AIR,V88888888_0,57276,63291
AIR,V88888888_0,57277,63291
AIR,V88888888_0,57278,63291
AIR,V88888888_0,57279,63287
AIR,V88888888_0,57280,63287
AIR,V88888888_0,57281,63287
AIR,V88888888_0,57282,63287
AIR,V88888888_0,57283,63287
AIR,V88888888_0,57284,63286
AIR,V88888888_0,57285,63286
AIR,V88888888_0,57286,63286
AIR,V88888888_0,57287,63286
AIR,V88888888_0,57288,63286
AIR,V88888888_0,57289,63277
AIR,V88888888_0,57290,63277
AIR,V88888888_0,57291,63277
AIR,V88888888_0,57292,63277
AIR,V88888888_0,57293,63277
AIR,V88888888_0,57294,63294
AIR,V88888888_0,57295,63294
AIR,V88888888_0,57296,63294
AIR,V88888888_0,57297,63294
AIR,V88888888_0,57298,63294
AIR,V88888888_0,57299,63249
AIR,V88888888_0,57300,63249
AIR,V88888888_0,57301,63249
AIR,V88888888_0,57302,63249
AIR,V88888888_0,57303,63249
AIR,V88888888_0,57304,63261
AIR,V88888888_0,57305,63261
AIR,V88888888_0,57306,63261
AIR,V88888888_0,57307,63261
AIR,V88888888_0,57308,63261
AIR,V88888888_0,57309,63272
AIR,V88888888_0,57310,63272
AIR,V88888888_0,57311,63272
AIR,V88888888_0,57312,63272
AIR,V88888888_0,57313,63272
AIR,V88888888_0,57314,63285
AIR,V88888888_0,57315,63285
AIR,V88888888_0,57316,63285
AIR,V88888888_0,57317,63285
AIR,V88888888_0,57318,63285
AIR,V88888888_0,57319,63287
AIR,V88888888_0,57320,63287
AIR,V88888888_0,57321,63287
AIR,V88888888_0,57322,63287
AIR,V88888888_0,57323,63287
AIR,V88888888_0,57324,63254
AIR,V88888888_0,57325,63254
AIR,V88888888_0,57326,63254
AIR,V88888888_0,57327,63254
AIR,V88888888_0,57328,63254
AIR,V88888888_0,57329,63280
AIR,V88888888_0,57330,63280
AIR,V88888888_0,57331,63280
AIR,V88888888_0,57332,63280
AIR,V88888888_0,57333,63280
AIR,V88888888_0,57334,63286
AIR,V88888888_0,57335,63286
AIR,V88888888_0,57336,63286
AIR,V88888888_0,57337,63286
AIR,V88888888_0,57338,63286
AIR,V888888883_1,57339,63278
AIR,V888888883_1,57340,63278
AIR,V888888883_1,57341,63278
AIR,V888888883_1,57342,63278
AIR,V888888883_1,57343,63278
AIR,V888888883_1,57344,63278
AIR,V888888883_1,57345,63278
AIR,V888888883_1,57346,63278
AIR,V888888883_1,57347,63278
AIR,V888888883_1,57348,63278
AIR,V888888883_1,57349,63278
AIR,V888888883_1,57350,63278
AIR,V888888883_1,57351,63278
AIR,V888888883_1,57352,63278
AIR,V888888883_1,57353,63278
AIR,V888888883_1,57354,63278
AIR,V88888888_0,57355,63265
AIR,V88888888_0,57356,63265
AIR,V88888888_0,57357,63265
AIR,V88888888_0,57358,63265
AIR,V88888888_0,57359,63265
AIR,V88888888_0,57360,63291
AIR,V88888888_0,57361,63291
AIR,V88888888_0,57362,63291
AIR,V88888888_0,57363,63291
AIR,V88888888_0,57364,63291
AIR,V88888888_0,57365,63282
AIR,V88888888_0,57366,63282
AIR,V88888888_0,57367,63282
AIR,V88888888_0,57368,63282
AIR,V88888888_0,57369,63282
AIR,V88888888_0,57370,63250
AIR,V88888888_0,57371,63250
AIR,V88888888_0,57372,63250
AIR,V88888888_0,57373,63250
AIR,V88888888_0,57374,63250
AIR,V88888888_0,57375,63260
AIR,V88888888_0,57376,63260
AIR,V88888888_0,57377,63260
AIR,V88888888_0,57378,63260
AIR,V88888888_0,57379,63260
AIR,V88888888_0,57380,63291
AIR,V88888888_0,57381,63291
AIR,V88888888_0,57382,63291
AIR,V88888888_0,57383,63291
AIR,V88888888_0,57384,63291
AIR,V88888888_0,57385,63264
AIR,V88888888_0,57386,63264
AIR,V88888888_0,57387,63264
AIR,V88888888_0,57388,63264
AIR,V88888888_0,57389,63264
AIR,V88888888_0,57390,63263
AIR,V88888888_0,57391,63263
AIR,V88888888_0,57392,63263
AIR,V88888888_0,57393,63263
AIR,V88888888_0,57394,63263
AIR,V88888888_0,57395,63266
AIR,V88888888_0,57396,63266
AIR,V88888888_0,57397,63266
AIR,V88888888_0,57398,63266
AIR,V88888888_0,57399,63266
AIR,V88888888_0,57400,63270
AIR,V88888888_0,57401,63270
AIR,V88888888_0,57402,63270
AIR,V88888888_0,57403,63270
AIR,V88888888_0,57404,63270
AIR,V88888888_0,57405,63255
AIR,V88888888_0,57406,63255
AIR,V88888888_0,57407,63255
AIR,V88888888_0,57408,63255
AIR,V88888888_0,57409,63255
AIR,V88888888_0,57410,63286
AIR,V88888888_0,57411,63286
AIR,V88888888_0,57412,63286
AIR,V88888888_0,57413,63286
AIR,V88888888_0,57414,63286
AIR,V88888888_0,57415,63268
AIR,V88888888_0,57416,63268
AIR,V88888888_0,57417,63268
AIR,V88888888_0,57418,63268
AIR,V88888888_0,57419,63268
AIR,V888888883_1,57420,63278
AIR,V888888883_1,57421,63278
AIR,V888888883_1,57422,63278
AIR,V888888883_1,57423,63278
AIR,V888888883_1,57424,63278
AIR,V888888883_1,57425,63278
AIR,V888888883_1,57426,63278
AIR,V888888883_1,57427,63278
AIR,V888888883_1,57428,63278
AIR,V888888883_1,57429,63278
AIR,V888888883_1,57430,63278
AIR,V888888883_1,57431,63278
AIR,V888888883_1,57432,63278
AIR,V888888883_1,57433,63278
AIR,V888888883_1,57434,63278
AIR,V888888883_1,57435,63278
AIR,V888888883_1,57436,63283
AIR,V888888883_1,57437,63283
AIR,V888888883_1,57438,63283
AIR,V888888883_1,57439,63283
AIR,V888888883_1,57440,63283
AIR,V888888883_1,57441,63283
AIR,V888888883_1,57442,63283
AIR,V888888883_1,57443,63283
AIR,V888888883_1,57444,63283
AIR,V888888883_1,57445,63283
AIR,V888888883_1,57446,63283
AIR,V888888883_1,57447,63283
AIR,V888888883_1,57448,63283
AIR,V888888883_1,57449,63283
AIR,V888888883_1,57450,63283
AIR,V888888883_1,57451,63283
AIR,V888888883_1,57452,63283
AIR,V888888883_1,57453,63283
AIR,V888888883_1,57454,63283
AIR,V888888883_1,57455,63283
AIR,V888888883_1,57456,63283
AIR,V888888883_1,57501,63283
AIR,V888888883_1,57502,63283
AIR,V888888883_1,57503,63283
AIR,V888888883_1,57504,63283
AIR,V888888883_1,57505,63283
AIR,V888888883_1,57506,63283
AIR,V888888883_1,57507,63283
AIR,V888888883_1,57508,63283
AIR,V888888883_1,57509,63283
AIR,V888888883_1,57510,63283
AIR,V888888883_1,57511,63283
AIR,V888888883_1,57512,63283
AIR,V888888883_1,57513,63283
AIR,V888888883_1,57514,63283
AIR,V888888883_1,57515,63283
AIR,V888888883_1,57516,63283
AIR,V888888883_1,57517,63283
AIR,V888888883_1,57518,63283
AIR,V888888883_1,57519,63283
AIR,V888888883_1,57520,63283
AIR,V888888883_1,57521,63283
AIR,V888888883_1,57522,63283
AIR,V888888883_1,57523,63283
AIR,V888888883_1,57524,63283
AIR,V888888883_1,57525,63283
AIR,V888888883_1,57526,63283
AIR,V888888883_1,57527,63283
AIR,V888888883_1,57528,63283
AIR,V888888883_1,57529,63283
AIR,V888888883_1,57530,63283
AIR,V888888883_1,57531,63283
AIR,V888888883_1,57532,63283
AIR,V888888883_1,57533,63283
AIR,V888888883_1,57534,63283
AIR,V888888883_1,57535,63283
AIR,V888888883_1,57536,63283
AIR,V888888883_1,57537,63283
AIR,V888888883_1,57538,63283
AIR,V888888883_1,57539,63283
AIR,V888888883_1,57540,63283
AIR,V888888883_1,57541,63283
AIR,V888888883_1,57542,63283
AIR,V888888883_1,57543,63283
AIR,V888888883_1,57544,63283
AIR,V888888883_1,57545,63283
AIR,V888888883_1,57546,63283
AIR,V888888883_1,57547,63283
AIR,V888888883_1,57548,63283
AIR,V888888883_1,57549,63283
AIR,V888888883_1,57550,63283
AIR,V888888883_1,57551,63283
AIR,V888888883_1,57552,63283
AIR,V888888883_1,57553,63283
AIR,V888888883_1,57554,63283
AIR,V888888883_1,57555,63283
AIR,V888888883_1,57556,63283
AIR,V888888883_1,57557,63283
AIR,V888888883_1,57558,63283
AIR,V888888883_1,57559,63283
AIR,V888888883_1,57560,63283
AIR,V888888883_1,57561,63283
AIR,V888888883_1,57562,63283
AIR,V888888883_1,57563,63283
AIR,V888888883_1,57564,63283
AIR,V888888883_1,57565,63283
AIR,V888888883_1,57566,63283
AIR,V888888883_1,57567,63283
AIR,V888888883_1,57568,63283
AIR,V888888883_1,57569,63283
AIR,V888888883_1,57570,63283
AIR,V888888883_1,57571,63283
AIR,V888888883_1,57572,63283
AIR,V888888883_1,57573,63283
AIR,V888888883_1,57574,63283
AIR,V888888883_1,57575,63283
AIR,V888888883_1,57576,63283
AIR,V888888883_1,57577,63283
AIR,V888888883_1,57578,63283
AIR,V888888883_1,57579,63283
AIR,V888888883_1,57580,63283
AIR,V888888883_1,57581,63283
AIR,V888888883_1,57582,63283
AIR,V888888883_1,57583,63283
AIR,V888888883_1,57584,63283
AIR,V888888883_1,57585,63283
AIR,V888888883_1,57586,63283
AIR,V888888883_1,57587,63283
AIR,V888888883_1,57588,63283
AIR,V888888883_1,57589,63283
AIR,V888888883_1,57590,63283
AIR,V888888883_1,57591,63283
AIR,V888888883_1,57592,63283
AIR,V888888883_1,57593,63283
AIR,V888888883_1,57594,63283
AIR,V888888883_1,57595,63283
AIR,V888888883_1,57596,63283
AIR,V888888883_1,57597,63283
AIR,V888888883_1,57598,63283
AIR,V888888883_1,57599,63283
AIR,V888888883_1,57600,63283
AIR,V888888883_1,57601,63283
AIR,V888888883_1,57602,63283
AIR,V888888883_1,57603,63283
AIR,V888888883_1,57604,63283
AIR,V888888883_1,57605,63283
AIR,V888888883_1,57606,63283
AIR,V888888883_1,57607,63283
AIR,V888888883_1,57608,63283
AIR,V888888883_1,57609,63283
AIR,V888888883_1,57610,63283
AIR,V888888883_1,57611,63283
AIR,V888888883_1,57612,63283
AIR,V888888883_1,57613,63283
AIR,V888888883_1,57614,63283
AIR,V888888883_1,57615,63283
AIR,V888888883_1,57616,63283
AIR,V888888883_1,57617,63283
AIR,V888888883_1,57618,63283
AIR,V888888883_1,57619,63283
AIR,V888888883_1,57620,63283
AIR,V888888883_1,57621,63283
AIR,V888888883_1,57622,63283
AIR,V888888883_1,57623,63283
AIR,V888888883_1,57624,63283
AIR,V888888883_1,57625,63283
AIR,V888888883_1,57626,63283
AIR,V888888883_1,57627,63283
AIR,V888888883_1,57628,63283
AIR,V888888883_1,57629,63283
AIR,V888888883_1,57630,63283
AIR,V88888888_0,57631,63260
AIR,V88888888_0,57632,63260
AIR,V88888888_0,57633,63260
AIR,V88888888_0,57634,63260
AIR,V88888888_0,57635,63260
AIR,V88888888_0,57636,63259
AIR,V88888888_0,57637,63259
AIR,V88888888_0,57638,63259
AIR,V88888888_0,57639,63259
AIR,V88888888_0,57640,63259
AIR,V888888883_1,57641,63292
AIR,V888888883_1,57642,63292
AIR,V888888883_1,57643,63292
AIR,V888888883_1,57644,63292
AIR,V888888883_1,57645,63292
AIR,V888888883_1,57646,63292
AIR,V888888883_1,57647,63292
AIR,V888888883_1,57648,63292
AIR,V888888883_1,57649,63292
AIR,V888888883_1,57650,63292
AIR,V888888883_1,57651,63292
AIR,V888888883_1,57652,63292
AIR,V888888883_1,57653,63292
AIR,V888888883_1,57654,63292
AIR,V888888883_1,57655,63292
