PLANTCODE_CONSTRAINT_ID,PLANTPRODCUST_ID,PORT_LOCATION_ID
53139,60194,
53140,61600,
53141,59966,
53142,62280,
53143,61803,
53144,62822,
53145,60321,
53146,61277,
53147,62411,
53148,62423,
53149,59519,
53150,62805,
53151,62777,
53152,61509,
53101,60817,
53102,60730,
53103,59695,
53104,62089,
53105,60983,
53106,62308,
53107,60134,
53108,62988,
53109,60514,
53110,62587,
53111,61752,
53112,59844,
53113,60676,
53114,60661,
53115,62111,
53116,60870,
53117,59691,
53118,61776,
53119,63073,
53120,60817,
53121,60730,
53122,59695,
53123,62089,
53124,60983,
53125,62308,
53126,60134,
53127,62988,
53128,60514,
53129,62587,
53130,61752,
53131,59844,
53132,60676,
53133,60661,
53134,62111,
53135,60870,
53136,59691,
53137,61776,
53138,63073,
53153,62813,
53154,63167,
53155,63114,
53156,59812,
53157,60610,
53158,61059,
53159,61207,
53160,60765,
53161,59639,
53162,59777,
53163,61649,
53164,59852,
53165,60119,
53166,59229,
53167,60718,
53168,62636,
53169,62348,
53170,61002,
53171,61500,
53172,62769,
53173,59725,
53174,60719,
53175,61523,
53176,60797,
53177,59505,
53178,61888,
53179,59334,
53180,59699,
53181,62020,
53182,61024,
53183,59686,
53184,62170,
53185,62982,
53186,59573,
53187,60795,
53188,59559,
53189,61937,
53190,60011,
53191,62076,
53192,60967,
53193,61956,
53194,60771,
53195,61873,
53196,63054,
53197,62283,
53198,61628,
53199,61290,
53200,61431,
53201,60808,
53202,62824,
53203,59409,
53204,60578,
53205,61510,
53206,61796,
53207,62142,
53208,62907,
53209,62597,
53210,61595,
53211,62036,
53212,62345,
53213,61310,
53214,60203,
53215,60141,
53216,61906,
53217,62321,
53218,61372,
53219,60258,
53220,61749,
53221,59758,
53222,61421,
53223,61365,
53224,59626,
53225,60272,
53226,62611,
53227,60259,
53228,60421,
53229,60930,
53230,61820,
53231,62357,
53232,61869,
53233,62599,
53234,61860,
53235,62663,
53236,60741,
53237,61757,
53238,62255,
53239,62219,
53240,60198,
53241,62062,
53242,61658,
53243,59438,
53244,62771,
53245,60705,
53246,63153,
53247,59273,
53248,59236,
53249,60435,
53250,61248,
53251,61302,
53252,62614,
53253,59979,
53254,60951,
53255,61572,
53256,62331,
53257,61919,
53258,61413,
53259,62465,
53260,63048,
53261,59347,
53262,61366,
53263,61717,
53264,60918,
53265,61477,
53266,61396,
53267,60703,
53268,63166,
53269,63090,
53270,62355,
53271,62770,
53272,61473,
53273,59876,
53274,60627,
53275,60333,
53276,61862,
53277,60580,
53278,62995,
53279,60252,
53280,61716,
53281,61451,
53282,61986,
53283,59329,
53284,60573,
53285,61488,
53286,59233,
53287,59617,
53288,61333,
53289,63126,
53290,59375,
53291,60310,
53292,60386,
53293,61364,
53294,60222,
53295,62990,
53296,60619,
53297,62026,
53298,62707,
53299,62700,
53300,62442,
53301,60850,
53302,59905,
53303,61474,
53304,62880,
53305,60492,
53306,60528,
53307,62402,
53308,62843,
53309,61810,
53310,62871,
53311,62971,
53312,63125,
53313,62171,
53314,61750,
53315,59700,
53316,63115,
53317,62119,
53318,61835,
53319,62782,
53320,61647,
53321,60781,
53322,59808,
53323,59274,
53324,62339,
53325,62320,
53326,60230,
53327,61352,
53328,61526,
53329,62041,
53330,60700,
53331,59216,
53332,62618,
53333,59219,
53334,59379,
53335,61583,
53336,61953,
53337,62209,
53338,59859,
53339,60682,
53340,61491,
53341,61642,
53342,61391,
53343,60269,
53344,60934,
53345,59705,
53346,61067,
53347,61368,
53348,63071,
53349,62507,
53350,60367,
53351,62569,
53352,61564,
53353,61471,
53354,61274,
53355,59692,
53356,61065,
53401,59507,
53402,59276,
53403,60864,
53404,61459,
53405,59528,
53406,62535,
53407,62721,
53408,61725,
53409,62065,
53410,60845,
53411,61074,
53412,61889,
53413,59990,
53414,60900,
53415,61092,
53416,60722,
53417,59644,
53418,62902,
53419,63072,
53420,59536,
53421,60798,
53422,59690,
53423,61826,
53424,61924,
53425,60669,
53426,61547,
53427,60347,
53428,63009,
53429,60600,
53430,62447,
53431,63055,
53432,59309,
53433,61636,
53434,59950,
53435,59539,
53436,61455,
53437,60176,
53438,59746,
53439,63102,
53440,61744,
53441,62441,
53442,59938,
53443,59336,
53444,61097,
53445,60260,
53446,59638,
53447,61493,
53448,61693,
53449,59795,
53450,60337,
53451,59296,
53452,59635,
53453,59810,
53454,60539,
53455,62689,
53456,61525,
53457,61672,
53458,62162,
53459,62942,
53460,61754,
53461,59279,
53462,61669,
53463,62350,
53464,62407,
53465,60837,
53466,59682,
53467,59381,
53468,59937,
53469,61276,
53470,61464,
53471,61789,
53472,61440,
53473,59350,
53474,59828,
53475,60268,
53476,61959,
53477,62136,
53478,62446,
53479,62278,
53480,61907,
53481,62731,
53482,59545,
53483,60469,
53484,59736,
53485,62215,
53486,60935,
53487,62294,
53488,62847,
53489,62257,
53490,60766,
53491,61852,
53492,59854,
53493,59793,
53494,60010,
53495,61362,
53496,61337,
53497,62284,
53498,61617,
53499,62981,
53500,62613,
53501,62001,
53502,59511,
53503,60626,
53504,60110,
53505,62510,
53506,62430,
53507,61662,
53508,61849,
53509,61545,
53510,60557,
53511,62561,
53512,61982,
53513,61507,
53514,60308,
53515,60658,
53516,60441,
53517,61794,
53518,62121,
53519,60399,
53520,59944,
53521,60595,
53522,60304,
53523,61235,
53524,62858,
53525,61958,
53526,61294,
53527,60372,
53528,61402,
53529,60440,
53530,63044,
53531,60822,
53532,62336,
53533,61930,
53534,62130,
53535,59640,
53536,62603,
53537,60811,
53538,59819,
53539,62103,
53540,59696,
53541,61997,
53542,62534,
53543,61542,
53544,62898,
53545,59932,
53546,60552,
53547,59752,
53548,60423,
53549,62070,
53550,60604,
53551,59843,
53552,60715,
53553,63061,
53554,59267,
53555,60001,
53556,62586,
53557,61311,
53558,60634,
53559,61616,
53560,59698,
53561,59804,
53562,59255,
53563,59685,
53564,60475,
53565,61753,
53566,62939,
53567,60214,
53568,59708,
53569,61408,
53570,62515,
53571,60161,
53572,60917,
53573,60231,
53574,59764,
53575,60754,
53576,59826,
53577,60972,
53578,62708,
53579,62624,
53580,61630,
53581,60485,
53582,60753,
53583,62104,
53584,62891,
53585,61465,
53586,62651,
53587,62710,
53588,59849,
53589,60438,
53590,59369,
53591,60629,
53592,59387,
53593,59420,
53594,60953,
53595,60720,
53596,59969,
53597,62964,
53598,60813,
53599,62488,
53600,61574,
53601,62144,
53602,59368,
53603,61084,
53604,61350,
53605,61706,
53606,61884,
53607,60401,
53608,59667,
53609,60683,
53610,59206,
53611,60520,
53612,61258,
53613,59326,
53614,60986,
53615,59887,
53616,60503,
53617,60805,
53618,61124,
53619,63023,
53620,62277,
53621,60602,
53622,60458,
53623,62688,
53624,63015,
53625,60448,
53626,62591,
53627,59582,
53628,59873,
53629,63106,
53630,59542,
53631,61032,
53632,62796,
53633,60562,
53634,61594,
53635,61409,
53636,59277,
53637,62550,
53638,61479,
53639,61902,
53640,59967,
53641,60166,
53642,59856,
53643,62180,
53644,62191,
53645,61871,
53646,61846,
53647,62846,
53648,59264,
53649,62105,
53650,61719,
53651,62379,
53652,60985,
53653,60553,
53654,62508,
53655,63013,
53656,60004,
53657,61868,
53658,61557,
53659,59838,
53660,60945,
53661,62429,
53662,60961,
53663,59675,
53664,62282,
53665,60564,
53666,62772,
53667,60752,
53668,61679,
53669,62740,
53670,62420,
53671,62006,
53672,60685,
53673,62938,
53674,60584,
53675,63133,
53676,59943,
53677,59762,
53678,61028,
53679,60406,
53680,59321,
53681,61272,
53682,63080,
53683,59829,
53684,61255,
53685,59835,
53686,62421,
53687,62581,
53688,59217,
53689,59982,
53690,60605,
53691,63122,
53692,60947,
53693,62555,
53694,61895,
53695,60886,
53696,59805,
53697,59915,
53698,60229,
53699,61587,
53700,62196,
53701,61918,
53702,61646,
53703,60991,
53704,62784,
53705,62299,
53706,59205,
53707,61867,
53708,62606,
53709,61234,
53710,60816,
53711,61424,
53712,59450,
53713,61833,
53714,62097,
53715,60270,
53716,62750,
53717,61501,
53718,59899,
53719,60378,
53720,59220,
53721,62819,
53722,63079,
53723,61251,
53724,61073,
53725,61492,
53726,61210,
53727,59589,
53728,59574,
53729,61517,
53730,61319,
53731,60592,
53732,59790,
53733,61508,
53734,60660,
53735,60984,
53736,61389,
53737,60480,
53738,61701,
53739,62301,
53740,59786,
53741,62306,
53742,62454,
53743,59807,
53744,63053,
53745,62828,
53746,60405,
53747,60165,
53748,60653,
53749,59509,
53750,62526,
53751,61621,
53752,59513,
53753,60964,
53754,62803,
53755,62254,
53756,59401,
53757,60877,
53758,59534,
53759,59989,
53760,61782,
53761,62551,
53762,60348,
53763,62464,
53764,61585,
53765,60411,
53766,61702,
53767,59629,
53768,61678,
53769,61269,
53770,61487,
53771,60768,
53772,59768,
53773,61321,
53774,59327,
53775,62664,
53776,61774,
53777,60820,
53778,59821,
53779,62952,
53780,60623,
53781,61403,
53782,61828,
53783,61518,
53784,59977,
53785,59984,
53786,62152,
53787,59535,
53788,59323,
53789,63074,
53790,61619,
53791,60455,
53792,61562,
53793,60794,
53794,62573,
53795,62994,
53796,60403,
53797,59971,
53798,61320,
53799,59587,
53800,60981,
53801,62795,
53802,62213,
53803,61844,
53804,60529,
53805,59414,
53806,59351,
53807,60583,
53808,60319,
53809,61760,
53810,62397,
53811,60477,
53812,59955,
53813,59608,
53814,59870,
53815,59383,
53816,62439,
53817,61718,
53818,62335,
53819,62326,
53820,62753,
53821,61786,
53822,59397,
53823,60606,
53824,62554,
