PLANTPRODCUST_ID,PRODUCT_ID,PLANT_LOCATION_ID,CUSTOMER
59202,1684743,22,
59203,1621717,23,
59204,1690627,22,
59205,1684724,17,
59206,1692222,12,
59207,1690171,24,
59208,1617714,23,
59213,1700557,14,
59214,1693889,24,
59215,1677878,14,
59216,1682760,13,
59217,1701319,12,
59219,1682766,13,
59220,1672986,21,
59221,1680740,14,
59223,1682651,14,
59225,1683739,15,
59227,1700143,14,
59229,1685370,28,
59233,1692113,16,
59235,1690614,22,
59236,1681952,16,
59237,1683146,15,
59238,1681972,15,
59243,1679639,14,
59244,1639636,14,
59245,1687774,20,
59246,1683199,14,
59248,1684794,15,
59251,1697181,27,
59253,1656348,14,
59255,1687421,12,
59256,1687521,14,
59259,1674120,14,
59260,1696654,14,
59263,1699690,14,
59264,1694984,12,
59267,1686705,12,
59272,1696476,23,
59273,1681951,16,
59274,1682646,13,
59276,1683419,13,
59277,1694562,12,
59279,1689783,13,
59280,1681882,19,
59284,1656350,14,
59285,1668347,14,
59288,1693105,14,
59290,1687491,14,
59292,1682805,14,
59296,1689545,13,
59297,1688824,14,
59298,1698758,27,
59299,1696263,19,
59302,1684808,14,
59303,1683624,27,
59306,1681884,18,
59309,1684772,13,
59311,1702016,14,
59312,1700105,14,
59316,1699689,14,
59317,1668608,14,
59320,1698759,27,
59321,1700263,12,
59323,1685107,21,
59325,1666396,14,
59326,1692225,12,
59327,1684669,21,
59328,1684740,22,
59329,1692107,16,
59330,1685306,24,
59332,1661099,14,
59334,1669095,29,
59336,1688587,13,
59340,1684773,15,
59342,1683432,22,
59343,1700139,14,
59344,1691789,24,
59345,1672343,18,
59346,1682772,14,
59347,1683359,16,
59349,1662238,14,
59350,1654431,12,
59351,1689543,21,
59353,1697954,14,
59355,1683293,14,
59356,1684332,15,
59357,1692997,14,
59358,1696262,19,
59363,1661098,14,
59364,1688285,22,
59366,1669409,14,
59367,1664247,14,
59368,1690492,12,
59369,1690176,12,
59371,1662274,14,
59375,1692401,16,
59377,1699265,14,
59379,1682769,13,
59381,1690619,13,
59383,1689780,21,
59387,1690267,12,
59390,1674378,24,
59391,1700363,14,
59392,1689147,14,
59395,1682869,14,
59396,1660673,14,
59397,1690006,21,
59398,1656969,23,
59399,1692948,14,
59400,1688285,14,
59401,1683525,21,
59402,1699993,14,
59403,1683403,14,
59404,1649008,14,
59405,1683795,15,
59409,1662991,16,
59410,1699768,14,
59411,1692402,14,
59414,1688750,21,
59416,1691700,18,
59418,1683397,14,
59420,1690271,12,
59421,1700035,27,
59423,1689541,14,
59424,1672245,24,
59427,1646393,24,
59429,1676565,14,
59434,1660551,14,
59436,1696019,24,
59437,1689548,22,
59438,1681759,16,
59439,1691784,24,
59445,1696297,14,
59446,1696255,18,
59447,1699953,15,
59450,1687191,17,
59452,1684728,15,
59453,1651366,14,
59454,1699567,14,
59456,1698108,15,
59201,1689548,14,Customer_05
59209,1689549,14,Customer_18
59210,1677891,14,Customer_15
59211,1700097,14,Customer_21
59212,1683558,14,Customer_07
59218,1682799,14,Customer_33
59222,1696746,14,Customer_44
59224,1629341,14,Customer_25
59226,1681379,24,Customer_35
59228,1688633,14,Customer_46
59230,1689547,14,Customer_28
59231,1682763,14,Customer_29
59232,1675615,14,Customer_14
59234,1699766,14,Customer_21
59239,1680246,23,Customer_42
59240,1669584,14,Customer_31
59241,1668550,14,Customer_44
59242,1699465,14,Customer_25
59247,1690092,14,Customer_26
59249,1699540,14,Customer_29
59250,1656347,14,Customer_26
59252,1658532,14,Customer_13
59254,1692109,14,Customer_21
59257,1696533,27,Customer_21
59258,1690631,14,Customer_39
59261,1690619,14,Customer_46
59262,1667817,14,Customer_15
59265,1699241,14,Customer_27
59266,1693626,14,Customer_29
59268,1672000,14,Customer_33
59269,1699553,14,Customer_27
59270,1688589,14,Customer_29
59271,1700094,14,Customer_13
59275,1700875,14,Customer_01
59278,1683704,14,Customer_15
59281,1696482,14,Customer_32
59282,1683200,14,Customer_24
59283,1689544,14,Customer_39
59286,1688633,14,Customer_39
59287,1677891,14,Customer_28
59289,1696752,14,Customer_24
59291,1658532,14,Customer_14
59293,1646393,24,Customer_28
59294,1699311,14,Customer_42
59295,1683430,14,Customer_39
59300,1667126,14,Customer_14
59301,1692708,27,Customer_21
59304,1699797,14,Customer_42
59305,1656246,14,Customer_32
59307,1681878,19,Customer_05
59308,1668716,24,Customer_28
59310,1656246,14,Customer_26
59313,1699378,14,Customer_42
59314,1699591,14,Customer_27
59315,1672117,14,Customer_29
59318,1689785,14,Customer_42
59319,1677884,14,Customer_26
59322,1658528,14,Customer_32
59324,1660580,14,Customer_21
59331,1682742,14,Customer_24
59333,1699268,14,Customer_42
59335,1682796,14,Customer_38
59337,1644200,14,Customer_15
59338,1662554,14,Customer_32
59339,1699591,14,Customer_25
59341,1690616,14,Customer_39
59348,1688824,14,Customer_32
59352,1700143,14,Customer_28
59354,1682793,14,Customer_09
59359,1681888,19,Customer_31
59360,1667934,14,Customer_36
59361,1692974,14,Customer_26
59362,1662552,14,Customer_22
59365,1699769,14,Customer_32
59370,1689546,14,Customer_18
59372,1684560,14,Customer_36
59373,1669409,14,Customer_22
59374,1700980,14,Customer_42
59376,1699771,14,Customer_21
59378,1672706,14,Customer_22
59380,1660885,14,Customer_31
59382,1693122,14,Customer_29
59384,1690006,14,Customer_23
59385,1677891,14,Customer_21
59386,1657475,14,Customer_21
59388,1699952,14,Customer_15
59389,1651299,14,Customer_28
59393,1676564,14,Customer_24
59394,1660885,14,Customer_28
59406,1668545,14,Customer_15
59407,1699369,14,Customer_29
59408,1699540,14,Customer_25
59412,1675654,14,Customer_28
59413,1672707,14,Customer_28
59415,1696654,14,Customer_13
59417,1699314,14,Customer_42
59419,1677229,23,Customer_39
59422,1690144,24,Customer_35
59425,1689547,14,Customer_39
59426,1652538,14,Customer_21
59428,1689784,14,Customer_42
59430,1696756,14,Customer_31
59431,1672986,19,Customer_31
59432,1658528,14,Customer_18
59433,1682982,14,Customer_13
59435,1690614,14,Customer_39
59440,1650571,14,Customer_15
59441,1689548,14,Customer_33
59442,1668608,14,Customer_15
59443,1655818,14,Customer_29
59444,1663347,14,Customer_15
59448,1660577,14,Customer_22
59449,1682594,23,Customer_18
59451,1699172,14,Customer_25
59455,1695349,14,Customer_23
59502,1645070,14,
59504,1667934,14,
59505,1668792,29,
59506,1682908,14,
59507,1683409,13,
59509,1683407,21,
