PORTCARRIER_ID,CARRIER,SERVICE_LEVEL,DEST_PORT_LOCATION_ID,ORIG_PORT_LOCATION_ID
63249,V444_2,DTP,,
63250,V444_5,DTD,,
63251,V444_5,DTD,,
63252,V444_9,DTD,,
63253,V44_3,CRF,,
63254,V444_2,DTP,,
63255,V444_5,DTP,,
63256,V444_5,DTP,,
63257,V444_4,DTP,,
63258,V444_5,DTP,,
63259,V444_5,DTP,,
63260,V444_5,DTD,,
63261,V444_8,DTD,,
63262,V444_5,DTD,,
63263,V444_0,DTP,,
63264,V444_0,DTD,,
63265,V444_8,DTD,,
63266,V444_2,DTD,,
63267,V444_6,DTD,,
63268,V444_2,DTP,,
63269,V444_0,DTP,,
63270,V444_5,DTD,,
63271,V444_6,DTD,,
63272,V444_2,DTP,,
63273,V444_7,DTD,,
63274,V444_4,DTD,,
63275,V444_4,DTD,,
63276,V444_4,DTD,,
63277,V444_8,DTD,,
63278,V444_1,DTD,,
63279,V444_0,DTD,,
63280,V444_8,DTD,,
63281,V444_1,DTD,,
63282,V444_0,DTD,,
63283,V444_4,DTD,,
63284,V444_1,DTD,,
63285,V444_8,DTD,,
63286,V444_2,DTD,,
63287,V444_2,DTD,,
63288,V444_0,DTD,,
63289,V444_1,DTD,,
63290,V44_3,CRF,,
63291,V444_2,DTD,,
63292,V444_1,DTD,,
63293,V444_4,DTD,,
63294,V444_2,DTD,,
63295,V44_3,CRF,,
