MODE_DSC,CARRIER_TYPE,FREIGHT_RATES_ID,PORTCARRIER_ID
AIR,V88888888_0,4101,10167
AIR,V88888888_0,4102,10167
AIR,V88888888_0,4103,10167
AIR,V88888888_0,4104,10167
AIR,V88888888_0,4105,10167
AIR,V88888888_0,4106,10167
AIR,V88888888_0,4107,10167
AIR,V88888888_0,4108,10167
AIR,V88888888_0,4109,10167
AIR,V88888888_0,4110,10167
AIR,V88888888_0,4111,10167
AIR,V88888888_0,4112,10167
AIR,V88888888_0,4113,10167
AIR,V88888888_0,4114,10167
AIR,V88888888_0,4115,10167
AIR,V88888888_0,4116,10167
AIR,V88888888_0,4117,10167
AIR,V88888888_0,4118,10167
AIR,V88888888_0,4119,10167
AIR,V88888888_0,4120,10171
AIR,V88888888_0,4121,10171
AIR,V88888888_0,4122,10171
AIR,V88888888_0,4123,10171
AIR,V88888888_0,4124,10171
AIR,V88888888_0,4125,10171
AIR,V88888888_0,4126,10171
AIR,V88888888_0,4127,10171
AIR,V88888888_0,4128,10171
AIR,V88888888_0,4129,10171
AIR,V88888888_0,4130,10171
AIR,V88888888_0,4131,10171
AIR,V88888888_0,4132,10171
AIR,V88888888_0,4133,10171
AIR,V88888888_0,4134,10171
AIR,V88888888_0,4135,10171
AIR,V88888888_0,4136,10171
AIR,V88888888_0,4137,10171
AIR,V88888888_0,4138,10171
AIR,V88888888_0,4139,10177
AIR,V88888888_0,4140,10177
AIR,V88888888_0,4141,10177
AIR,V88888888_0,4142,10177
AIR,V88888888_0,4143,10177
AIR,V88888888_0,4144,10161
AIR,V88888888_0,4145,10161
AIR,V88888888_0,4146,10161
AIR,V88888888_0,4147,10161
AIR,V88888888_0,4148,10161
AIR,V88888888_0,4149,10185
AIR,V88888888_0,4150,10185
AIR,V88888888_0,4151,10185
AIR,V88888888_0,4152,10185
AIR,V88888888_0,4153,10185
AIR,V88888888_0,4154,10152
AIR,V88888888_0,4155,10152
AIR,V88888888_0,4156,10152
AIR,V88888888_0,4157,10152
AIR,V88888888_0,4158,10152
AIR,V88888888_0,4159,10180
AIR,V88888888_0,4160,10180
AIR,V88888888_0,4161,10180
AIR,V88888888_0,4162,10180
AIR,V88888888_0,4163,10180
AIR,V88888888_0,4164,10165
AIR,V88888888_0,4165,10165
AIR,V88888888_0,4166,10165
AIR,V88888888_0,4167,10165
AIR,V88888888_0,4168,10165
AIR,V88888888_0,4169,10194
AIR,V88888888_0,4170,10194
AIR,V88888888_0,4171,10194
AIR,V88888888_0,4172,10194
AIR,V88888888_0,4173,10194
AIR,V88888888_0,4174,10191
AIR,V88888888_0,4175,10191
AIR,V88888888_0,4176,10191
AIR,V88888888_0,4177,10191
AIR,V88888888_0,4178,10191
AIR,V88888888_0,4179,10187
AIR,V88888888_0,4180,10187
AIR,V88888888_0,4181,10187
AIR,V88888888_0,4182,10187
AIR,V88888888_0,4183,10187
AIR,V88888888_0,4184,10186
AIR,V88888888_0,4185,10186
AIR,V88888888_0,4186,10186
AIR,V88888888_0,4187,10186
AIR,V88888888_0,4188,10186
AIR,V88888888_0,4189,10177
AIR,V88888888_0,4190,10177
AIR,V88888888_0,4191,10177
AIR,V88888888_0,4192,10177
AIR,V88888888_0,4193,10177
AIR,V88888888_0,4194,10194
AIR,V88888888_0,4195,10194
AIR,V88888888_0,4196,10194
AIR,V88888888_0,4197,10194
AIR,V88888888_0,4198,10194
AIR,V88888888_0,4199,10149
AIR,V88888888_0,4200,10149
AIR,V88888888_0,4201,10149
AIR,V88888888_0,4202,10149
AIR,V88888888_0,4203,10149
AIR,V88888888_0,4204,10161
AIR,V88888888_0,4205,10161
AIR,V88888888_0,4206,10161
AIR,V88888888_0,4207,10161
AIR,V88888888_0,4208,10161
AIR,V88888888_0,4209,10172
AIR,V88888888_0,4210,10172
AIR,V88888888_0,4211,10172
AIR,V88888888_0,4212,10172
AIR,V88888888_0,4213,10172
AIR,V88888888_0,4214,10185
AIR,V88888888_0,4215,10185
AIR,V88888888_0,4216,10185
AIR,V88888888_0,4217,10185
AIR,V88888888_0,4218,10185
AIR,V88888888_0,4219,10187
AIR,V88888888_0,4220,10187
AIR,V88888888_0,4221,10187
AIR,V88888888_0,4222,10187
AIR,V88888888_0,4223,10187
AIR,V88888888_0,4224,10154
AIR,V88888888_0,4225,10154
AIR,V88888888_0,4226,10154
AIR,V88888888_0,4227,10154
AIR,V88888888_0,4228,10154
AIR,V88888888_0,4229,10180
AIR,V88888888_0,4230,10180
