PLANTCODE_CONSTRAINT_ID,ORDER_ID,FREIGHT_RATES_ID,MIN_WEIGHT_QUANT,MAX_WEIGHT_QUANT,MIN_COST,RATE,TPT_DAY_COUNT,COST_PER_UNIT,DAILY_CAPACITY,SHIP_AHEAD_DAY_COUNT,SHIP_LATE_DAY_COUNT,UNIT_QUANT,WEIGHT
,,4101,250,499.99,$43.23,$0.71,2,,,,,,
,,4102,65,69.99,$43.23,$0.75,2,,,,,,
,,4103,60,64.99,$43.23,$0.79,2,,,,,,
,,4104,50,54.99,$43.23,$0.83,2,,,,,,
,,4105,35,39.99,$43.23,$1.06,2,,,,,,
,,4106,100,249.99,$43.23,$0.71,2,,,,,,
,,4107,500,1999.99,$43.23,$0.68,2,,,,,,
,,4108,55,59.99,$43.23,$0.83,2,,,,,,
,,4109,25,29.99,$43.23,$1.25,2,,,,,,
,,4110,30,34.99,$43.23,$1.13,2,,,,,,
,,4111,70,99.99,$43.23,$0.75,2,,,,,,
,,4112,10,14.99,$43.23,$1.83,2,,,,,,
,,4113,0,4.99,$43.23,$1.83,2,,,,,,
,,4114,5,9.99,$43.23,$1.83,2,,,,,,
,,4115,2000,99999.99,$43.23,$0.64,2,,,,,,
,,4116,45,49.99,$43.23,$0.94,2,,,,,,
,,4117,20,24.99,$43.23,$1.32,2,,,,,,
,,4118,40,44.99,$43.23,$0.98,2,,,,,,
,,4119,15,19.99,$43.23,$1.59,2,,,,,,
,,4120,65,69.99,$43.23,$0.75,2,,,,,,
,,4121,45,49.99,$43.23,$0.94,2,,,,,,
,,4122,50,54.99,$43.23,$0.83,2,,,,,,
,,4123,250,499.99,$43.23,$0.71,2,,,,,,
,,4124,500,1999.99,$43.23,$0.68,2,,,,,,
,,4125,100,249.99,$43.23,$0.71,2,,,,,,
,,4126,40,44.99,$43.23,$0.98,2,,,,,,
,,4127,20,24.99,$43.23,$1.32,2,,,,,,
,,4128,60,64.99,$43.23,$0.79,2,,,,,,
,,4129,35,39.99,$43.23,$1.06,2,,,,,,
,,4130,10,14.99,$43.23,$1.83,2,,,,,,
,,4131,0,4.99,$43.23,$1.83,2,,,,,,
,,4132,55,59.99,$43.23,$0.83,2,,,,,,
,,4133,30,34.99,$43.23,$1.13,2,,,,,,
,,4134,25,29.99,$43.23,$1.25,2,,,,,,
,,4135,5,9.99,$43.23,$1.83,2,,,,,,
,,4136,2000,99999.99,$43.23,$0.64,2,,,,,,
,,4137,70,99.99,$43.23,$0.75,2,,,,,,
,,4138,15,19.99,$43.23,$1.59,2,,,,,,
,,4139,500,1999.99,$17.69,$0.03,14,,,,,,
,,4140,2000,99999.99,$17.69,$0.03,14,,,,,,
,,4141,0,99.99,$17.69,$0.03,14,,,,,,
,,4142,250,499.99,$17.69,$0.03,14,,,,,,
,,4143,100,249.99,$17.69,$0.03,14,,,,,,
,,4144,0,99.99,$11.11,$0.10,14,,,,,,
,,4145,2000,99999.99,$11.11,$0.09,14,,,,,,
,,4146,250,499.99,$11.11,$0.09,14,,,,,,
,,4147,100,249.99,$11.11,$0.10,14,,,,,,
,,4148,500,1999.99,$11.11,$0.09,14,,,,,,
,,4149,100,249.99,$21.47,$0.06,14,,,,,,
,,4150,0,99.99,$21.47,$0.06,14,,,,,,
,,4151,500,1999.99,$21.47,$0.06,14,,,,,,
,,4152,250,499.99,$21.47,$0.06,14,,,,,,
,,4153,2000,99999.99,$21.47,$0.06,14,,,,,,
,,4154,5000,"9,999.99",$231.31,$0.10,14,,,,,,
,,4155,1000,"4,999.99",$231.31,$0.11,14,,,,,,
,,4156,0,499.99,$231.31,$0.19,14,,,,,,
,,4157,500,999.99,$231.31,$0.12,14,,,,,,
,,4158,10000,"99,999.99",$231.31,$0.10,14,,,,,,
,,4159,100,249.99,$17.52,$0.05,14,,,,,,
,,4160,0,99.99,$17.52,$0.05,14,,,,,,
,,4161,250,499.99,$17.52,$0.05,14,,,,,,
,,4162,2000,99999.99,$17.52,$0.05,14,,,,,,
,,4163,500,1999.99,$17.52,$0.05,14,,,,,,
,,4164,2000,99999.99,$19.36,$0.12,14,,,,,,
,,4165,250,499.99,$19.36,$0.12,14,,,,,,
,,4166,100,249.99,$19.36,$0.12,14,,,,,,
,,4167,500,1999.99,$19.36,$0.12,14,,,,,,
,,4168,0,99.99,$19.36,$0.12,14,,,,,,
,,4169,500,1999.99,$15.23,$0.08,6,,,,,,
,,4170,2000,99999.99,$15.23,$0.08,6,,,,,,
,,4171,0,99.99,$15.23,$0.19,6,,,,,,
,,4172,250,499.99,$15.23,$0.08,6,,,,,,
,,4173,100,249.99,$15.23,$0.08,6,,,,,,
,,4174,0,99.99,$21.23,$0.23,6,,,,,,
,,4175,100,249.99,$21.23,$0.22,6,,,,,,
,,4176,250,499.99,$21.23,$0.19,6,,,,,,
,,4177,500,1999.99,$21.23,$0.19,6,,,,,,
,,4178,2000,99999.99,$21.23,$0.18,6,,,,,,
,,4179,100,249.99,$21.03,$0.10,6,,,,,,
,,4180,2000,99999.99,$21.03,$0.10,6,,,,,,
,,4181,500,1999.99,$21.03,$0.10,6,,,,,,
,,4182,0,99.99,$21.03,$0.22,6,,,,,,
,,4183,250,499.99,$21.03,$0.10,6,,,,,,
,,4184,100,249.99,$15.43,$0.20,6,,,,,,
,,4185,2000,99999.99,$15.43,$0.10,6,,,,,,
,,4186,500,1999.99,$15.43,$0.10,6,,,,,,
,,4187,250,499.99,$15.43,$0.20,6,,,,,,
,,4188,0,99.99,$15.43,$0.21,6,,,,,,
,,4189,2000,99999.99,$23.54,$0.05,5,,,,,,
,,4190,500,1999.99,$23.54,$0.05,5,,,,,,
,,4191,100,249.99,$23.54,$0.05,5,,,,,,
,,4192,0,99.99,$23.54,$0.05,5,,,,,,
,,4193,250,499.99,$23.54,$0.05,5,,,,,,
,,4194,500,1999.99,$15.43,$0.08,5,,,,,,
,,4195,250,499.99,$15.43,$0.08,5,,,,,,
,,4196,2000,99999.99,$15.43,$0.08,5,,,,,,
,,4197,100,249.99,$15.43,$0.08,5,,,,,,
,,4198,0,99.99,$15.43,$0.20,5,,,,,,
,,4199,2000,99999.99,$7.83,$0.07,5,,,,,,
,,4200,500,1999.99,$7.83,$0.07,5,,,,,,
,,4201,250,499.99,$7.83,$0.07,5,,,,,,
,,4202,100,249.99,$7.83,$0.07,5,,,,,,
,,4203,0,99.99,$7.83,$0.10,5,,,,,,
,,4204,0,99.99,$15.12,$0.16,5,,,,,,
,,4205,250,499.99,$15.12,$0.16,5,,,,,,
,,4206,100,249.99,$15.12,$0.16,5,,,,,,
,,4207,500,1999.99,$15.12,$0.16,5,,,,,,
,,4208,2000,99999.99,$15.12,$0.16,5,,,,,,
,,4209,2000,99999.99,$9.63,$0.14,5,,,,,,
,,4210,500,1999.99,$9.63,$0.15,5,,,,,,
,,4211,250,499.99,$9.63,$0.15,5,,,,,,
,,4212,0,99.99,$9.63,$0.17,5,,,,,,
,,4213,100,249.99,$9.63,$0.15,5,,,,,,
,,4214,0,99.99,$27.80,$0.13,5,,,,,,
,,4215,250,499.99,$27.80,$0.13,5,,,,,,
,,4216,2000,99999.99,$27.80,$0.13,5,,,,,,
,,4217,500,1999.99,$27.80,$0.13,5,,,,,,
,,4218,100,249.99,$27.80,$0.13,5,,,,,,
,,4219,500,1999.99,$19.03,$0.10,5,,,,,,
,,4220,0,99.99,$19.03,$0.23,5,,,,,,
,,4221,2000,99999.99,$19.03,$0.10,5,,,,,,
,,4222,100,249.99,$19.03,$0.10,5,,,,,,
,,4223,250,499.99,$19.03,$0.10,5,,,,,,
,,4224,100,249.99,$21.03,$0.15,5,,,,,,
,,4225,250,499.99,$21.03,$0.15,5,,,,,,
,,4226,500,1999.99,$21.03,$0.15,5,,,,,,
,,4227,0,99.99,$21.03,$0.19,5,,,,,,
,,4228,2000,99999.99,$21.03,$0.15,5,,,,,,
,,4229,2000,99999.99,$23.31,$0.09,5,,,,,,
,,4230,100,249.99,$23.31,$0.09,5,,,,,,
,,4231,250,499.99,$23.31,$0.09,5,,,,,,
,,4232,500,1999.99,$23.31,$0.09,5,,,,,,
,,4233,0,99.99,$23.31,$0.09,5,,,,,,
,,4234,2000,99999.99,$15.63,$0.10,5,,,,,,
,,4235,500,1999.99,$15.63,$0.10,5,,,,,,
,,4236,100,249.99,$15.63,$0.21,5,,,,,,
,,4237,0,99.99,$15.63,$0.22,5,,,,,,
,,4238,250,499.99,$15.63,$0.20,5,,,,,,
,,4239,0,0.5,$1.59,$0.59,5,,,,,,
,,4240,1,1,$1.59,$0.59,5,,,,,,
,,4241,1,1.5,$1.59,$0.59,5,,,,,,
,,4242,2,2,$1.59,$0.59,5,,,,,,
,,4243,2,2.5,$1.59,$0.59,5,,,,,,
,,4244,71,99.99,$11.48,$0.10,5,,,,,,
,,4245,100,455.99,$13.99,$0.10,5,,,,,,
,,4246,456,99999.99,$65.31,$0.10,5,,,,,,
,,4247,0,0.5,$1.67,$0.67,5,,,,,,
,,4248,1,1,$1.67,$0.67,5,,,,,,
,,4249,1,1.5,$1.67,$0.67,5,,,,,,
,,4250,2,2,$1.67,$0.67,5,,,,,,
,,4251,2,2.5,$1.67,$0.67,5,,,,,,
,,4252,71,99.99,$11.45,$0.10,5,,,,,,
,,4253,100,455.99,$13.95,$0.10,5,,,,,,
,,4254,456,99999.99,$65.13,$0.10,5,,,,,,
,,4255,500,1999.99,$25.44,$0.28,5,,,,,,
,,4256,2000,99999.99,$25.44,$0.24,5,,,,,,
,,4257,250,499.99,$25.44,$0.28,5,,,,,,
,,4258,0,99.99,$25.44,$0.28,5,,,,,,
,,4259,100,249.99,$25.44,$0.28,5,,,,,,
,,4260,2000,99999.99,$21.63,$0.18,4,,,,,,
,,4261,250,499.99,$21.63,$0.20,4,,,,,,
,,4262,500,1999.99,$21.63,$0.19,4,,,,,,
,,4263,100,249.99,$21.63,$0.23,4,,,,,,
,,4264,0,99.99,$21.63,$0.27,4,,,,,,
,,4265,250,499.99,$23.84,$0.08,4,,,,,,
,,4266,100,249.99,$23.84,$0.08,4,,,,,,
,,4267,2000,99999.99,$23.84,$0.08,4,,,,,,
,,4268,500,1999.99,$23.84,$0.08,4,,,,,,
,,4269,0,99.99,$23.84,$0.10,4,,,,,,
,,4270,100,249.99,$11.61,$0.10,4,,,,,,
,,4271,250,499.99,$11.61,$0.10,4,,,,,,
,,4272,2000,99999.99,$11.61,$0.09,4,,,,,,
,,4273,0,99.99,$11.61,$0.15,4,,,,,,
,,4274,500,1999.99,$11.61,$0.09,4,,,,,,
,,4275,500,1999.99,$7.43,$0.08,3,,,,,,
,,4276,0,99.99,$7.43,$0.08,3,,,,,,
,,4277,100,249.99,$7.43,$0.08,3,,,,,,
,,4278,250,499.99,$7.43,$0.08,3,,,,,,
,,4279,2000,99999.99,$7.43,$0.08,3,,,,,,
,,4280,0,99.99,$23.03,$0.28,3,,,,,,
,,4281,100,249.99,$23.03,$0.24,3,,,,,,
,,4282,2000,99999.99,$23.03,$0.19,3,,,,,,
,,4283,250,499.99,$23.03,$0.21,3,,,,,,
,,4284,500,1999.99,$23.03,$0.20,3,,,,,,
,,4285,500,1999.99,$3.46,$0.05,3,,,,,,
,,4286,0,99.99,$3.46,$0.08,3,,,,,,
,,4287,250,499.99,$3.46,$0.05,3,,,,,,
,,4288,2000,99999.99,$3.46,$0.05,3,,,,,,
,,4289,100,249.99,$3.46,$0.06,3,,,,,,
,,4290,2000,99999.99,$1.50,$0.04,3,,,,,,
,,4291,100,249.99,$1.50,$0.04,3,,,,,,
,,4292,250,499.99,$1.50,$0.04,3,,,,,,
,,4293,500,1999.99,$1.50,$0.04,3,,,,,,
,,4294,0,99.99,$1.50,$0.05,3,,,,,,
,,4295,100,249.99,$9.03,$0.08,3,,,,,,
,,4296,250,499.99,$9.03,$0.08,3,,,,,,
,,4297,500,1999.99,$9.03,$0.08,3,,,,,,
,,4298,0,99.99,$9.03,$0.09,3,,,,,,
,,4299,2000,99999.99,$9.03,$0.08,3,,,,,,
,,4300,0,99.99,$7.19,$0.09,3,,,,,,
,,4301,100,249.99,$7.19,$0.07,3,,,,,,
,,4302,500,1999.99,$7.19,$0.07,3,,,,,,
,,4303,2000,99999.99,$7.19,$0.07,3,,,,,,
,,4304,250,499.99,$7.19,$0.07,3,,,,,,
,,4305,250,499.99,$5.81,$0.08,3,,,,,,
,,4306,500,1999.99,$5.81,$0.07,3,,,,,,
,,4307,2000,99999.99,$5.81,$0.07,3,,,,,,
,,4308,100,249.99,$5.81,$0.09,3,,,,,,
,,4309,0,99.99,$5.81,$0.13,3,,,,,,
,,4310,0,99.99,$17.03,$0.23,3,,,,,,
,,4311,250,499.99,$17.03,$0.21,3,,,,,,
,,4312,500,1999.99,$17.03,$0.20,3,,,,,,
,,4313,100,249.99,$17.03,$0.22,3,,,,,,
,,4314,2000,99999.99,$17.03,$0.19,3,,,,,,
,,4315,2000,99999.99,$15.23,$0.15,3,,,,,,
,,4316,250,499.99,$15.23,$0.15,3,,,,,,
,,4317,500,1999.99,$15.23,$0.15,3,,,,,,
,,4318,0,99.99,$15.23,$0.16,3,,,,,,
,,4319,100,249.99,$15.23,$0.15,3,,,,,,
,,4320,0,0.5,$1.59,$0.59,3,,,,,,
,,4321,1,1,$1.59,$0.59,3,,,,,,
,,4322,1,1.5,$1.59,$0.59,3,,,,,,
,,4323,2,2,$1.59,$0.59,3,,,,,,
,,4324,2,2.5,$1.59,$0.59,3,,,,,,
,,4325,71,99.99,$11.48,$0.10,3,,,,,,
,,4326,100,455.99,$13.99,$0.10,3,,,,,,
,,4327,456,99999.99,$65.31,$0.10,3,,,,,,
,,4328,0,0.5,$1.67,$0.67,3,,,,,,
,,4329,1,1,$1.67,$0.67,3,,,,,,
,,4330,1,1.5,$1.67,$0.67,3,,,,,,
,,4331,2,2,$1.67,$0.67,3,,,,,,
,,4332,2,2.5,$1.67,$0.67,3,,,,,,
,,4333,71,99.99,$11.45,$0.10,3,,,,,,
,,4334,100,455.99,$13.95,$0.10,3,,,,,,
,,4335,456,99999.99,$65.13,$0.10,3,,,,,,
,,4336,0,0.453592,$1.40,$0.85,3,,,,,,
,,4337,0,0.907184,$1.45,$0.96,3,,,,,,
,,4338,1,1.360776,$1.54,$1.16,3,,,,,,
,,4339,1,1.814368,$1.62,$1.33,3,,,,,,
,,4340,2,2.26796,$1.68,$1.47,3,,,,,,
,,4341,2,2.721552,$1.72,$1.55,3,,,,,,
,,4342,3,3.175144,$1.76,$1.64,3,,,,,,
,,4343,3,3.628736,$1.81,$1.75,3,,,,,,
,,4344,4,4.082328,$1.85,$1.85,3,,,,,,
,,4345,4,4.53592,$1.89,$1.93,3,,,,,,
,,4346,5,4.989512,$1.94,$3.03,3,,,,,,
,,4347,5,5.443104,$1.98,$3.13,3,,,,,,
,,4348,5,5.896696,$3.03,$2.23,3,,,,,,
,,4349,6,6.350288,$3.07,$2.33,3,,,,,,
,,4350,6,6.80388,$3.12,$1.44,3,,,,,,
,,4351,7,7.257472,$3.17,$1.54,3,,,,,,
,,4352,7,7.711064,$3.21,$2.64,3,,,,,,
,,4353,8,8.164656,$3.26,$3.74,3,,,,,,
,,4354,8,8.618248,$3.30,$3.84,3,,,,,,
,,4355,9,9.07184,$3.35,$2.94,3,,,,,,
,,4356,9,9.525432,$3.39,$3.02,3,,,,,,
,,4401,10,9.979024,$3.42,$4.10,3,,,,,,
,,4402,10,10.432616,$3.46,$4.18,3,,,,,,
,,4403,10,10.886208,$3.49,$4.26,3,,,,,,
,,4404,11,11.3398,$3.53,$4.34,3,,,,,,
,,4405,11,11.793392,$3.57,$3.42,3,,,,,,
,,4406,12,12.246984,$3.60,$4.50,3,,,,,,
,,4407,12,12.700576,$3.64,$4.58,3,,,,,,
,,4408,13,13.154168,$3.67,$3.66,3,,,,,,
,,4409,13,13.60776,$3.71,$3.74,3,,,,,,
,,4410,14,14.061352,$3.75,$3.82,3,,,,,,
,,4411,14,14.514944,$3.78,$3.89,3,,,,,,
,,4412,15,14.968536,$3.82,$2.97,3,,,,,,
,,4413,15,15.422128,$3.85,$5.05,3,,,,,,
,,4414,15,15.87572,$3.89,$6.13,3,,,,,,
,,4415,16,16.329312,$3.93,$2.21,3,,,,,,
,,4416,16,16.782904,$3.96,$5.29,3,,,,,,
,,4417,17,17.236496,$4.00,$2.37,3,,,,,,
,,4418,17,17.690088,$5.03,$5.45,3,,,,,,
,,4419,18,18.14368,$5.07,$5.53,3,,,,,,
,,4420,18,18.597272,$5.11,$6.61,3,,,,,,
,,4421,19,19.050864,$5.14,$2.69,3,,,,,,
,,4422,19,19.504456,$5.18,$5.77,3,,,,,,
