PLANTCODE_CONSTRAINT_ID,PLANTPRODCUST_ID,PORT_LOCATION_ID
39,7094,
40,8500,
41,6866,
42,9180,
43,8703,
44,9722,
45,7221,
46,8177,
47,9311,
48,9323,
49,6419,
50,9705,
51,9677,
52,8409,
1,7717,
2,7630,
3,6595,
4,8989,
5,7883,
6,9208,
7,7034,
8,9888,
9,7414,
10,9487,
11,8652,
12,6744,
13,7576,
14,7561,
15,9011,
16,7770,
17,6591,
18,8676,
19,9973,
20,7717,
21,7630,
22,6595,
23,8989,
24,7883,
25,9208,
26,7034,
27,9888,
28,7414,
29,9487,
30,8652,
31,6744,
32,7576,
33,7561,
34,9011,
35,7770,
36,6591,
37,8676,
38,9973,
53,9713,
54,10067,
55,10014,
56,6712,
57,7510,
58,7959,
59,8107,
60,7665,
61,6539,
62,6677,
63,8549,
64,6752,
65,7019,
66,6129,
67,7618,
68,9536,
69,9248,
70,7902,
71,8400,
72,9669,
73,6625,
74,7619,
75,8423,
76,7697,
77,6405,
78,8788,
79,6234,
80,6599,
81,8920,
82,7924,
83,6586,
84,9070,
85,9882,
86,6473,
87,7695,
88,6459,
89,8837,
90,6911,
91,8976,
92,7867,
93,8856,
94,7671,
95,8773,
96,9954,
97,9183,
98,8528,
99,8190,
100,8331,
101,7708,
102,9724,
103,6309,
104,7478,
105,8410,
106,8696,
107,9042,
108,9807,
109,9497,
110,8495,
111,8936,
112,9245,
113,8210,
114,7103,
115,7041,
116,8806,
117,9221,
118,8272,
119,7158,
120,8649,
121,6658,
122,8321,
123,8265,
124,6526,
125,7172,
126,9511,
127,7159,
128,7321,
129,7830,
130,8720,
131,9257,
132,8769,
133,9499,
134,8760,
135,9563,
136,7641,
137,8657,
138,9155,
139,9119,
140,7098,
141,8962,
142,8558,
143,6338,
144,9671,
145,7605,
146,10053,
147,6173,
148,6136,
149,7335,
150,8148,
151,8202,
152,9514,
153,6879,
154,7851,
155,8472,
156,9231,
157,8819,
158,8313,
159,9365,
160,9948,
161,6247,
162,8266,
163,8617,
164,7818,
165,8377,
166,8296,
167,7603,
168,10066,
169,9990,
170,9255,
171,9670,
172,8373,
173,6776,
174,7527,
175,7233,
176,8762,
177,7480,
178,9895,
179,7152,
180,8616,
181,8351,
182,8886,
183,6229,
184,7473,
185,8388,
186,6133,
187,6517,
188,8233,
189,10026,
190,6275,
191,7210,
192,7286,
193,8264,
194,7122,
195,9890,
196,7519,
197,8926,
198,9607,
199,9600,
200,9342,
201,7750,
202,6805,
203,8374,
204,9780,
205,7392,
206,7428,
207,9302,
208,9743,
209,8710,
210,9771,
211,9871,
212,10025,
213,9071,
214,8650,
215,6600,
216,10015,
217,9019,
218,8735,
219,9682,
220,8547,
221,7681,
222,6708,
223,6174,
224,9239,
225,9220,
226,7130,
227,8252,
228,8426,
229,8941,
230,7600,
231,6116,
232,9518,
233,6119,
234,6279,
235,8483,
236,8853,
237,9109,
238,6759,
239,7582,
240,8391,
241,8542,
242,8291,
243,7169,
244,7834,
245,6605,
246,7967,
247,8268,
248,9971,
249,9407,
250,7267,
251,9469,
252,8464,
253,8371,
254,8174,
255,6592,
256,7965,
301,6407,
302,6176,
303,7764,
304,8359,
305,6428,
306,9435,
307,9621,
308,8625,
309,8965,
310,7745,
311,7974,
312,8789,
313,6890,
314,7800,
315,7992,
316,7622,
317,6544,
318,9802,
319,9972,
320,6436,
321,7698,
322,6590,
323,8726,
324,8824,
325,7569,
326,8447,
327,7247,
328,9909,
329,7500,
330,9347,
331,9955,
332,6209,
333,8536,
334,6850,
335,6439,
336,8355,
337,7076,
338,6646,
339,10002,
340,8644,
341,9341,
342,6838,
343,6236,
344,7997,
345,7160,
346,6538,
347,8393,
348,8593,
349,6695,
350,7237,
351,6196,
352,6535,
353,6710,
354,7439,
355,9589,
356,8425,
357,8572,
358,9062,
359,9842,
360,8654,
361,6179,
362,8569,
363,9250,
364,9307,
365,7737,
366,6582,
367,6281,
368,6837,
369,8176,
370,8364,
371,8689,
372,8340,
373,6250,
374,6728,
375,7168,
376,8859,
377,9036,
378,9346,
379,9178,
380,8807,
381,9631,
382,6445,
383,7369,
384,6636,
385,9115,
386,7835,
387,9194,
388,9747,
389,9157,
390,7666,
391,8752,
392,6754,
393,6693,
394,6910,
395,8262,
396,8237,
397,9184,
398,8517,
399,9881,
400,9513,
401,8901,
402,6411,
403,7526,
404,7010,
405,9410,
406,9330,
407,8562,
408,8749,
409,8445,
410,7457,
411,9461,
412,8882,
413,8407,
414,7208,
415,7558,
416,7341,
417,8694,
418,9021,
419,7299,
420,6844,
421,7495,
422,7204,
423,8135,
424,9758,
425,8858,
426,8194,
427,7272,
428,8302,
429,7340,
430,9944,
431,7722,
432,9236,
433,8830,
434,9030,
435,6540,
436,9503,
437,7711,
438,6719,
439,9003,
440,6596,
441,8897,
442,9434,
443,8442,
444,9798,
445,6832,
446,7452,
447,6652,
448,7323,
449,8970,
450,7504,
451,6743,
452,7615,
453,9961,
454,6167,
455,6901,
456,9486,
457,8211,
458,7534,
459,8516,
460,6598,
461,6704,
462,6155,
463,6585,
464,7375,
465,8653,
466,9839,
467,7114,
468,6608,
469,8308,
470,9415,
471,7061,
472,7817,
473,7131,
474,6664,
475,7654,
476,6726,
477,7872,
478,9608,
479,9524,
480,8530,
481,7385,
482,7653,
483,9004,
484,9791,
485,8365,
486,9551,
487,9610,
488,6749,
489,7338,
490,6269,
491,7529,
492,6287,
493,6320,
494,7853,
495,7620,
496,6869,
497,9864,
498,7713,
499,9388,
500,8474,
501,9044,
502,6268,
503,7984,
504,8250,
505,8606,
506,8784,
507,7301,
508,6567,
509,7583,
510,6106,
511,7420,
512,8158,
513,6226,
514,7886,
515,6787,
516,7403,
517,7705,
518,8024,
519,9923,
520,9177,
521,7502,
522,7358,
523,9588,
524,9915,
525,7348,
526,9491,
527,6482,
528,6773,
529,10006,
530,6442,
531,7932,
532,9696,
533,7462,
534,8494,
535,8309,
536,6177,
537,9450,
538,8379,
539,8802,
540,6867,
541,7066,
542,6756,
543,9080,
544,9091,
545,8771,
546,8746,
547,9746,
548,6164,
549,9005,
550,8619,
551,9279,
552,7885,
553,7453,
554,9408,
555,9913,
556,6904,
557,8768,
558,8457,
559,6738,
560,7845,
561,9329,
562,7861,
563,6575,
564,9182,
565,7464,
566,9672,
567,7652,
568,8579,
569,9640,
570,9320,
571,8906,
572,7585,
573,9838,
574,7484,
575,10033,
576,6843,
577,6662,
578,7928,
579,7306,
580,6221,
581,8172,
582,9980,
583,6729,
584,8155,
585,6735,
586,9321,
587,9481,
588,6117,
589,6882,
590,7505,
591,10022,
592,7847,
593,9455,
594,8795,
595,7786,
596,6705,
597,6815,
598,7129,
599,8487,
600,9096,
601,8818,
602,8546,
603,7891,
604,9684,
605,9199,
606,6105,
607,8767,
608,9506,
609,8134,
610,7716,
611,8324,
612,6350,
613,8733,
614,8997,
615,7170,
616,9650,
617,8401,
618,6799,
619,7278,
620,6120,
621,9719,
622,9979,
623,8151,
624,7973,
625,8392,
626,8110,
627,6489,
628,6474,
629,8417,
630,8219,
631,7492,
632,6690,
633,8408,
634,7560,
635,7884,
636,8289,
637,7380,
638,8601,
639,9201,
640,6686,
641,9206,
642,9354,
643,6707,
644,9953,
645,9728,
646,7305,
647,7065,
648,7553,
649,6409,
650,9426,
651,8521,
652,6413,
653,7864,
654,9703,
655,9154,
656,6301,
657,7777,
658,6434,
659,6889,
660,8682,
661,9451,
662,7248,
663,9364,
664,8485,
665,7311,
666,8602,
667,6529,
668,8578,
669,8169,
670,8387,
671,7668,
672,6668,
673,8221,
674,6227,
675,9564,
676,8674,
677,7720,
