PORTCARRIER_ID,CARRIER,SERVICE_LEVEL,ORIG_PORT_LOCATION_ID,DEST_PORT_LOCATION_ID
10149,V444_2,DTP,11,9
10150,V444_5,DTD,5,9
10151,V444_5,DTD,3,9
10152,V444_9,DTD,8,9
10153,V44_3,CRF,9,9
10154,V444_2,DTP,8,9
10155,V444_5,DTP,5,9
10156,V444_5,DTP,2,9
10157,V444_4,DTP,6,9
10158,V444_5,DTP,9,9
10159,V444_5,DTP,6,9
10160,V444_5,DTD,6,9
10161,V444_8,DTD,11,9
10162,V444_5,DTD,9,9
10163,V444_0,DTP,4,9
10164,V444_0,DTD,4,9
10165,V444_8,DTD,3,9
10166,V444_2,DTD,2,9
10167,V444_6,DTD,8,9
10168,V444_2,DTP,10,9
10169,V444_0,DTP,9,9
10170,V444_5,DTD,2,9
10171,V444_6,DTD,10,9
10172,V444_2,DTP,7,9
10173,V444_7,DTD,3,9
10174,V444_4,DTD,5,9
10175,V444_4,DTD,2,9
10176,V444_4,DTD,4,9
10177,V444_8,DTD,9,9
10178,V444_1,DTD,10,9
10179,V444_0,DTD,3,9
10180,V444_8,DTD,2,9
10181,V444_1,DTD,2,9
10182,V444_0,DTD,2,9
10183,V444_4,DTD,10,9
10184,V444_1,DTD,4,9
10185,V444_8,DTD,4,9
10186,V444_2,DTD,10,9
10187,V444_2,DTD,8,9
10188,V444_0,DTD,9,9
10189,V444_1,DTD,5,9
10190,V44_3,CRF,5,9
10191,V444_2,DTD,7,9
10192,V444_1,DTD,6,9
10193,V444_4,DTD,6,9
10194,V444_2,DTD,11,9
10195,V44_3,CRF,4,9
