ORDER_ID,FREIGHT_COST,SHIPMENT_MODE,DELIVERY_RECORDED_DATE
SCMS-4,780.34,Air,0006-06-02
SCMS-13,4521.5,Air,0006-11-14
SCMS-20,1653.78,Air,0006-08-27
SCMS-78,16007.06,Air,0006-09-01
SCMS-81,45450.08,Air,0006-08-11
SCMS-87,5920.42,Air,0006-09-28
SCMS-139,Freight Included in Commodity Cost,Air,0007-01-08
SCMS-140,6212.41,Air,0006-11-24
SCMS-156,See ASN-93 (ID#:1281),Air,0006-12-07
SCMS-165,Freight Included in Commodity Cost,Air,0007-01-30
SCMS-221,Freight Included in Commodity Cost,Air,0007-02-16
SCMS-226,13569.49,Air,0007-01-08
SCMS-230,Invoiced Separately,Air,0007-01-10
SCMS-268,64179.42,Air,0007-02-27
SCMS-274,1760.32,Air,0007-01-18
SCMS-308,Freight Included in Commodity Cost,Air,0007-03-19
SCMS-354,Freight Included in Commodity Cost,,0007-05-07
SCMS-488,3120.7,Air,0007-03-29
SCMS-156150,807.47,Air,0012-11-12
SCMS-555,912.96,Air,0007-06-06
SCMS-592,2682.47,Air,0007-06-19
SCMS-570,15893.71,Air,0007-06-19
SCMS-698,Freight Included in Commodity Cost,Air,0007-10-02
SCMS-753,4193.49,Air,0007-10-15
SCMS-759,1767.38,Air,0007-08-27
SCMS-10080,3518.38,Air,0007-08-21
SCMS-10130,3097.85,Air,0007-08-25
SCMS-10270,27869.74,Air,0007-10-16
SCMS-10290,28461.1,Air,0007-11-22
SCMS-10300,28359.8,Air,0007-11-22
SCMS-11070,12237.61,Air,0007-11-20
SCMS-11750,20885.78,Air,0007-10-03
SCMS-14050,Freight Included in Commodity Cost,,0008-01-29
SCMS-14190,2282.57,Air,0008-01-21
SCMS-14200,2149.05,Air,0008-01-21
SCMS-14630,0.75,Air,0008-01-31
SCMS-15550,Invoiced Separately,Air,0008-02-05
SCMS-16600,Freight Included in Commodity Cost,,0008-01-04
SCMS-14080,Invoiced Separately,Air,0008-02-18
SCMS-18290,5446.51,Air,0008-06-17
SCMS-18310,2656.12,Air,0009-03-19
SCMS-18480,Invoiced Separately,Air,0008-04-01
SCMS-18500,360,Air,0008-07-28
SCMS-18430,Freight Included in Commodity Cost,,0008-03-11
SCMS-18870,4112.46,Air,0008-11-17
SCMS-18940,5468.88,Air,0008-04-17
SCMS-19130,1715.17,Air,0008-06-04
SCMS-19490,4051.34,Air,0008-06-03
SCMS-19800,Freight Included in Commodity Cost,Truck,0008-04-24
SCMS-19800,Freight Included in Commodity Cost,Truck,0008-04-24
SCMS-20310,2211.05,Air,0008-07-12
SCMS-21460,Freight Included in Commodity Cost,,0008-04-07
SCMS-21540,16090.22,Air,0008-07-09
SCMS-21540,Invoiced Separately,Air,0008-07-04
SCMS-21550,Freight Included in Commodity Cost,Air,0008-05-09
SCMS-23450,13507.92,Air,0008-09-19
SCMS-23500,Freight Included in Commodity Cost,Truck,0008-08-20
SCMS-23500,Freight Included in Commodity Cost,Truck,0008-05-08
SCMS-23500,Freight Included in Commodity Cost,Truck,0008-05-08
SCMS-23610,645.1,Air,0008-09-02
SCMS-23840,782.13,Air,0008-09-30
SCMS-24020,871.57,Air,0008-11-24
SCMS-25540,Freight Included in Commodity Cost,Truck,0008-06-09
SCMS-26180,18614.72,Air,0008-09-19
SCMS-26560,1755.87,Air,0008-09-09
SCMS-26200,10179.16,Air,0008-10-08
SCMS-26820,Freight Included in Commodity Cost,Truck,0008-07-08
SCMS-27360,4686.88,Air,0008-11-27
SCMS-27670,180,Air,0008-08-15
SCMS-27790,11062.05,Air,0008-10-20
SCMS-28840,Invoiced Separately,Air,0008-09-18
SCMS-29140,11298.13,Air,0008-10-02
SCMS-29340,12830.91,Air,0009-01-23
SCMS-30502,Freight Included in Commodity Cost,Air,0009-04-08
SCMS-31180,2698.04,Air,0008-10-29
SCMS-31370,578.01,Air,0008-11-28
SCMS-31380,1122.24,Air,0009-01-23
SCMS-33320,Freight Included in Commodity Cost,Truck,0008-10-09
SCMS-33320,Freight Included in Commodity Cost,Truck,0009-05-17
SCMS-33320,Freight Included in Commodity Cost,Truck,0008-10-09
SCMS-33320,Freight Included in Commodity Cost,Truck,0008-10-09
SCMS-14930,2426.05,Air,0008-01-22
SCMS-33320,Freight Included in Commodity Cost,Truck,0008-10-09
SCMS-33930,Freight Included in Commodity Cost,Air,0009-02-06
SCMS-34680,9339,Air,0009-04-21
SCMS-35790,25405.22,Air,0009-03-02
SCMS-36660,23914.8,Air,0009-03-23
SCMS-37170,12835.2,Air,0009-04-10
SCMS-37170,See ASN-3562 (ID#:960),Air,0009-04-10
SCMS-37180,4225.93,Air,0009-03-23
SCMS-31721,892.5,Air,0009-03-16
SCMS-38370,6668.61,Air,0009-05-28
SCMS-38380,Freight Included in Commodity Cost,Air,0009-05-04
SCMS-38660,12595.81,Air,0009-04-28
SCMS-39640,463,Air,0009-09-30
SCMS-40000,260,Air,0009-03-31
SCMS-40000,See ASN-3675 (ID#:1046),Air,0009-03-31
SCMS-40030,893.22,Air,0009-04-15
SCMS-40810,Freight Included in Commodity Cost,Air,0008-12-02
SCMS-41040,Freight Included in Commodity Cost,Air,0008-12-03
SCMS-41040,Freight Included in Commodity Cost,Air,0008-12-03
SCMS-41060,Freight Included in Commodity Cost,Air,0008-12-23
SCMS-41070,Freight Included in Commodity Cost,Air,0008-12-30
SCMS-41140,Freight Included in Commodity Cost,Air,0008-11-21
SCMS-41462,Freight Included in Commodity Cost,Air,0009-04-21
SCMS-41460,Freight Included in Commodity Cost,Truck,0009-06-05
SCMS-41464,Freight Included in Commodity Cost,Air,0009-06-17
