ORDER_ID,ASN_DN,SHIPMENT_MODE,SCHEDULED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,DELIVERY_RECORDED_DATE
SCMS-4,ASN-8,Air,0006-06-02,0006-06-02,0006-06-02
SCMS-13,ASN-85,Air,0006-11-14,0006-11-14,0006-11-14
SCMS-20,ASN-14,Air,0006-08-27,0006-08-27,0006-08-27
SCMS-78,ASN-50,Air,0006-09-01,0006-09-01,0006-09-01
SCMS-81,ASN-55,Air,0006-08-11,0006-08-11,0006-08-11
SCMS-87,ASN-57,Air,0006-09-28,0006-09-28,0006-09-28
SCMS-139,ASN-130,Air,0007-01-08,0007-01-08,0007-01-08
SCMS-140,ASN-94,Air,0006-11-24,0006-11-24,0006-11-24
SCMS-156,ASN-93,Air,0006-12-07,0006-12-07,0006-12-07
SCMS-165,ASN-199,Air,0007-01-30,0007-01-30,0007-01-30
SCMS-221,ASN-223,Air,0007-02-16,0007-02-16,0007-02-16
SCMS-226,ASN-137,Air,0007-01-08,0007-01-08,0007-01-08
SCMS-230,ASN-144,Air,0007-01-10,0007-01-10,0007-01-10
SCMS-268,ASN-242,Air,0007-02-27,0007-02-27,0007-02-27
SCMS-274,ASN-162,Air,0007-01-18,0007-01-18,0007-01-18
SCMS-308,ASN-285,Air,0007-03-19,0007-03-19,0007-03-19
SCMS-354,ASN-608,,0007-05-07,0007-05-07,0007-05-07
SCMS-488,ASN-299,Air,0007-03-29,0007-03-29,0007-03-29
SCMS-156150,ASN-16914,Air,0012-11-12,0012-11-12,0012-11-12
SCMS-555,ASN-409,Air,0007-06-06,0007-06-06,0007-06-06
SCMS-592,ASN-485,Air,0007-06-19,0007-06-19,0007-06-19
SCMS-570,ASN-451,Air,0007-06-19,0007-06-19,0007-06-19
SCMS-698,ASN-727,Air,0007-10-02,0007-10-02,0007-10-02
SCMS-753,ASN-781,Air,0007-10-15,0007-10-15,0007-10-15
SCMS-759,ASN-632,Air,0007-08-27,0007-08-27,0007-08-27
SCMS-10080,ASN-628,Air,0007-08-13,0007-08-21,0007-08-21
SCMS-10130,ASN-616,Air,0007-08-25,0007-08-25,0007-08-25
SCMS-10270,ASN-710,Air,0007-10-16,0007-10-16,0007-10-16
SCMS-10290,ASN-788,Air,0007-11-22,0007-11-22,0007-11-22
SCMS-10300,ASN-856,Air,0007-11-22,0007-11-22,0007-11-22
SCMS-11070,ASN-916,Air,0007-11-20,0007-11-20,0007-11-20
SCMS-11750,ASN-745,Air,0007-10-03,0007-10-03,0007-10-03
SCMS-14050,ASN-1251,,0008-01-29,0008-01-29,0008-01-29
SCMS-14190,ASN-1192,Air,0008-01-21,0008-01-21,0008-01-21
SCMS-14200,ASN-1171,Air,0008-01-21,0008-01-21,0008-01-21
SCMS-14630,ASN-1253,Air,0008-01-31,0008-01-31,0008-01-31
SCMS-15550,ASN-1269,Air,0008-02-05,0008-02-05,0008-02-05
SCMS-16600,ASN-1520,,0008-01-21,0008-01-04,0008-01-04
SCMS-14080,ASN-1318,Air,0008-02-18,0008-02-18,0008-02-18
SCMS-18290,ASN-1879,Air,0008-06-17,0008-06-17,0008-06-17
SCMS-18310,ASN-3435,Air,0009-03-19,0009-03-19,0009-03-19
SCMS-18480,ASN-1502,Air,0008-04-09,0008-04-01,0008-04-01
SCMS-18500,ASN-2117,Air,0008-07-28,0008-07-28,0008-07-28
SCMS-18430,ASN-1465,,0008-03-11,0008-03-11,0008-03-11
SCMS-18870,ASN-2434,Air,0008-11-17,0008-11-17,0008-11-17
SCMS-18940,ASN-1467,Air,0008-04-17,0008-04-17,0008-04-17
SCMS-19130,ASN-1798,Air,0008-06-04,0008-06-04,0008-06-04
SCMS-19490,ASN-1753,Air,0008-06-03,0008-06-03,0008-06-03
SCMS-19800,ASN-1665,Truck,0008-04-24,0008-04-24,0008-04-24
SCMS-19800,ASN-1665,Truck,0008-04-24,0008-04-24,0008-04-24
SCMS-20310,ASN-1923,Air,0008-07-12,0008-07-12,0008-07-12
SCMS-21460,ASN-1667,,0008-04-25,0008-04-07,0008-04-07
SCMS-21540,ASN-2008,Air,0008-07-09,0008-07-09,0008-07-09
SCMS-21540,ASN-2011,Air,0008-07-09,0008-07-04,0008-07-04
SCMS-21550,ASN-1741,Air,0008-05-09,0008-05-09,0008-05-09
SCMS-23450,ASN-2336,Air,0008-09-19,0008-09-19,0008-09-19
SCMS-23500,ASN-2783,Truck,0008-08-20,0008-08-20,0008-08-20
SCMS-23500,ASN-2293,Truck,0008-08-20,0008-05-08,0008-05-08
SCMS-23500,ASN-2293,Truck,0008-08-20,0008-05-08,0008-05-08
SCMS-23610,ASN-2167,Air,0008-09-02,0008-09-02,0008-09-02
SCMS-23840,ASN-2504,Air,0008-09-30,0008-09-30,0008-09-30
SCMS-24020,ASN-2865,Air,0008-11-24,0008-11-24,0008-11-24
SCMS-25540,ASN-2295,Truck,0008-06-12,0008-06-09,0008-06-09
SCMS-26180,ASN-2274,Air,0008-09-19,0008-09-19,0008-09-19
SCMS-26560,ASN-2366,Air,0009-02-25,0008-09-09,0008-09-09
SCMS-26200,ASN-2563,Air,0008-10-08,0008-10-08,0008-10-08
SCMS-26820,ASN-2488,Truck,0008-07-10,0008-07-08,0008-07-08
SCMS-27360,ASN-2767,Air,0008-11-27,0008-11-27,0008-11-27
SCMS-27670,ASN-2255,Air,0008-08-15,0008-08-15,0008-08-15
SCMS-27790,ASN-2641,Air,0008-10-20,0008-10-20,0008-10-20
SCMS-28840,ASN-2450,Air,0008-09-18,0008-09-18,0008-09-18
SCMS-29140,ASN-2472,Air,0008-10-02,0008-10-02,0008-10-02
SCMS-29340,ASN-2921,Air,0009-01-23,0009-01-23,0009-01-23
SCMS-30502,ASN-3653,Air,0009-03-10,0009-04-08,0009-04-08
SCMS-31180,ASN-2717,Air,0008-10-29,0008-10-29,0008-10-29
SCMS-31370,ASN-2796,Air,0008-11-28,0008-11-28,0008-11-28
SCMS-31380,ASN-3172,Air,0009-01-23,0009-01-23,0009-01-23
SCMS-33320,ASN-3553,Truck,0009-05-17,0008-10-09,0008-10-09
SCMS-33320,ASN-3892,Truck,0009-05-17,0009-05-17,0009-05-17
SCMS-33320,ASN-3553,Truck,0009-05-17,0008-10-09,0008-10-09
SCMS-33320,ASN-3553,Truck,0009-05-17,0008-10-09,0008-10-09
SCMS-14930,ASN-1231,Air,0008-01-22,0008-01-22,0008-01-22
SCMS-33320,ASN-3553,Truck,0009-05-17,0008-10-09,0008-10-09
SCMS-33930,ASN-3209,Air,0009-02-06,0009-02-06,0009-02-06
SCMS-34680,ASN-3332,Air,0009-04-21,0009-04-21,0009-04-21
SCMS-35790,ASN-3242,Air,0009-03-02,0009-03-02,0009-03-02
SCMS-36660,ASN-3509,Air,0009-03-23,0009-03-23,0009-03-23
SCMS-37170,ASN-3562,Air,0009-04-10,0009-04-10,0009-04-10
SCMS-37170,ASN-3562,Air,0009-04-10,0009-04-10,0009-04-10
SCMS-37180,ASN-3521,Air,0009-03-23,0009-03-23,0009-03-23
SCMS-31721,ASN-3454,Air,0009-03-16,0009-03-16,0009-03-16
SCMS-38370,ASN-3751,Air,0009-05-28,0009-05-28,0009-05-28
SCMS-38380,ASN-3627,Air,0009-05-04,0009-05-04,0009-05-04
