PRODUCT_ID,ITEM_DESCRIPTION,DOSAGE,UNIT_OF_MEASURE,LINE_ITEM_QUANTITY,WEIGHT,PACK_PRICE,UNIT_PRICE,LINE_ITEM_INSURANCE_USD
"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests","HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests",,30,19,13,29,0.97,
"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml","Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",10mg/ml,240,1000,358,6.2,0.03,
"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit, 100 Tests",,100,500,171,80,0.8,
"Lamivudine 150mg, tablets, 60 Tabs","Lamivudine 150mg, tablets, 60 Tabs",150mg,60,31920,1855,3.99,0.07,
"Stavudine 30mg, capsules, 60 Caps","Stavudine 30mg, capsules, 60 Caps",30mg,60,38000,7590,3.2,0.05,
"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml","Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",10mg/ml,240,416,504,5.35,0.02,
"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps","Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",200mg,90,135,328,32.4,0.36,
"Nevirapine 200mg, tablets, 60 Tabs","Nevirapine 200mg, tablets, 60 Tabs",200mg,60,16667,1478,3.65,0.06,
"Stavudine 30mg, capsules, 60 Caps","Stavudine 30mg, capsules, 60 Caps",30mg,60,273,See ASN-93 (ID#:1281),1.95,0.03,
"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs","Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",200/50mg,120,2800,643,41.1,0.34,
"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs","Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",200/50mg,120,2800,643,41.1,0.34,
"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",,20,2500,853,40,2,
"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests","HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests",,100,10,Weight Captured Separately,85,0.85,
"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs","Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",150/300mg,60,10000,7416,9.98,0.17,
"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit, 100 Tests",,100,750,256,80,0.8,
"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs","#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",200mg,60,579,Weight Captured Separately,25.5,0.42,
"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit, 100 Tests",,100,1500,Weight Captured Separately,80,0.8,192
"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",,30,2000,710,16.5,0.55,
"Zidovudine 300mg, tablets, 60 Tabs","Zidovudine 300mg, tablets, 60 Tabs",300mg,60,525,34,6.6,0.11,4.86
"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml","Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",2g,200,712,162,12.59,0.06,
"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit, 100 Tests",,100,1000,341,80,0.8,128
"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",,20,7500,2278,27,1.35,
"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs","#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",200mg,60,5513,2126,25.5,0.42,224.93
"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml","Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",10mg/ml,240,1000,941,1.92,0.01,3.07
"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs","Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",200/50mg,120,500,117,82.19,0.68,65.75
