VENDOR_NAME,MANUFACTURING_SITE
RANBAXY Fine Chemicals LTD.,Ranbaxy Fine Chemicals LTD
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
Abbott GmbH & Co. KG,ABBVIE GmbH & Co.KG Wiesbaden
SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Ranbaxy, Paonta Shahib, India"
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),MSD South Granville Australia
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE (Abbott) St. P'burg USA
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany
"Trinity Biotech, Plc","Trinity Biotech, Plc"
EY Laboratories,"EY Laboratories, USA"
CIPLA LIMITED,"Cipla, Goa, India"
Abbott GmbH & Co. KG,ABBVIE GmbH & Co.KG Wiesbaden
BRISTOL-MYERS SQUIBB,"BMS Meymac, France"
ACCOUN NIGERIA LIMITED,ABBVIE GmbH & Co.KG Wiesbaden
Premier Medical Corporation Ltd.,Premier Med. Corp Ltd. India
CIPLA LIMITED,"Cipla, Goa, India"
BRISTOL-MYERS SQUIBB,"BMS Meymac, France"
Abbott GmbH & Co. KG,ABBVIE GmbH & Co.KG Wiesbaden
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Chembio Diagnostics Sys. Inc.
BRISTOL-MYERS SQUIBB,"BMS Meymac, France"
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany
"Orgenics, Ltd",Inverness Japan
Orasure Technologies Inc.,"Pacific Biotech, Thailand"
"Standard Diagnostics, Inc.","Standard Diagnostics, Korea"
"Standard Diagnostics, Inc.","Standard Diagnostics, Korea"
